net,length_um
u_cmd_parser.challenge_nonce\[85\],323.18
_06382_,323.12
_09733_,323.055
_04239_,322.52
_06509_,321.78
u_cmd_parser.challenge_nonce\[81\],321.04
u_cmd_parser.challenge_nonce\[24\],320.47
_14734_,320.4
_17410_,320.38
_05949_,320.34
_04659_,319.26
_13668_,319.06
_09730_,319.02
_15692_,318.99
_08456_,318.68
_17725_,318.46
_14675_,318.435
u_cmd_parser.challenge_nonce\[80\],317.915
_14949_,317.39
_04121_,317.21
_07249_,317.21
_15105_,316.79
_13948_,316.78
net73,316.65
net21,316.38
_04195_,316.2
_15325_,316.15
_09041_,315.3
_16928_,315.195
_11250_,315.18
_17058_,315.18
_04228_,315
_04711_,314.73
_15125_,314.59
_06507_,314.52
net34,313.95
_05648_,313.78
_17357_,313.38
_11065_,313.05
_14959_,312.99
_15856_,312.58
net32,312.24
_04088_,312.16
_14933_,312.015
clknet_5_2__leaf_clk,311.89
_04368_,311.52
_14741_,311.52
_05246_,311.39
_04379_,310.98
_04055_,310.6
_07687_,310.375
_12180_,310.24
_04162_,309.98
_17077_,309.805
_13731_,309.52
_06510_,309.05
_10219_,309.02
_05582_,308.4
_13486_,308.22
_16894_,306.87
net30,306.78
_17588_,306.64
_07254_,306.29
net31,306.12
_03804_,305.71
_05279_,305.66
_17932_,305.56
_04442_,305.5
_08032_,305.42
_14725_,305.255
_17465_,304.73
net18,303.6
_14966_,303.56
_05345_,303.36
_03970_,302.94
_03845_,302.87
clknet_5_10__leaf_clk,302.37
_03689_,301.98
_17858_,301.63
_17000_,301.42
_17314_,301.04
_04615_,301
_17857_,300.56
_04755_,300.12
_05775_,300.04
_17418_,299.68
_16882_,299.22
_18349_,299.09
u_auth_fsm.aes_plaintext\[29\],298.81
_18151_,298.77
_15637_,298.73
_07061_,298.63
_04431_,298.08
_06116_,298.06
_14919_,297.66
_17057_,297.46
net11,297.09
_18469_,297.06
_17480_,296.85
_04648_,296.65
_06551_,296.18
_08148_,295.865
_11309_,295.74
_15488_,294.695
net25,294.2
net22,293.7
_15812_,293.68
_17498_,293.11
_06879_,292.81
u_aes128.gen_key_sbox\[2\].sb_key.in\[5\],292.7
_12337_,292.53
_04099_,292.38
_06231_,292.25
_06380_,291.97
_05455_,291.08
_15229_,290.925
_16390_,290.58
net315,290.52
_16497_,289.72
_11787_,289.53
_15284_,289.06
_04401_,289.025
_05592_,289
_15051_,288.95
_04541_,288.68
_14585_,288.09
_13967_,288.04
_05701_,287.96
_06818_,287.92
_09194_,287.76
net252,287.38
_15779_,286.78
_13929_,286.76
u_auth_fsm.aes_plaintext\[25\],286.68
_17067_,286.62
u_auth_fsm.nonce_hist\[1\]\[87\],286.4
u_auth_fsm.nonce_hist\[4\]\[84\],286.055
_14425_,286.025
_05774_,285.85
_03840_,285.82
u_cmd_parser.challenge_nonce\[6\],285.56
_07354_,285.42
u_auth_fsm.nonce_hist\[4\]\[85\],285.25
u_auth_fsm.aes_plaintext\[35\],285.21
_13374_,285.12
_17681_,284.92
_17524_,284.9
_07491_,284.59
_10585_,284.54
_05820_,283.96
_14931_,283.85
_10941_,283.64
_04291_,283.6
_05367_,283.4
_05914_,283.075
_15757_,282.54
u_cmd_parser.challenge_nonce\[68\],282.42
_14313_,282.38
_05700_,282.36
u_auth_fsm.aes_plaintext\[27\],282.24
fifo_nonce\[0\]\[69\],282.1
_16520_,281.48
