net,length_um
u_cmd_parser.challenge_nonce\[16\],374.85
_14040_,374.675
_17118_,374.66
_16978_,372.625
clknet_5_7__leaf_clk,372.54
_14719_,372.375
net207,371.98
_07147_,371.54
_13550_,371.32
clknet_5_4__leaf_clk,370.05
net17,369.7
u_cmd_parser.challenge_nonce\[31\],369.04
_15823_,368.22
_13142_,368.08
_09292_,367.6
_15746_,367.54
u_cmd_parser.challenge_nonce\[34\],367.46
_14685_,366.98
_15670_,366.61
u_cmd_parser.challenge_nonce\[57\],366.565
_14944_,365.98
_16179_,365.74
_06076_,365.71
_06154_,365.64
_05704_,365.32
_15218_,365.19
_17060_,365.18
_15295_,365.09
_16485_,365.02
u_auth_fsm.nonce_hist\[4\]\[80\],364.96
_15466_,363.42
net13,362.98
_16924_,362.78
_12677_,361.94
_17247_,361.845
u_cmd_parser.challenge_nonce\[50\],361.8
net156,361.51
_14184_,361.31
net71,361.1
_13774_,360.58
_09759_,359.925
_14000_,359.87
_07064_,359.44
_14807_,359.38
_05584_,359.22
_17931_,359.06
_05852_,358.32
_04681_,357.98
_14911_,357.89
u_cmd_parser.challenge_nonce\[122\],357.82
_07589_,357.49
_14007_,357.35
_04975_,356.73
_04151_,356.24
_05651_,355.385
_07262_,354.9
_14695_,354.74
_07144_,354.29
_10879_,354.28
_07588_,354.155
_12739_,353.46
fifo_nonce\[0\]\[110\],352.88
net64,352.79
_06883_,352.44
_18089_,352.31
_08760_,352.14
_14929_,352.13
fifo_nonce\[0\]\[109\],351.955
_15615_,351.46
_18220_,351.26
_16887_,350.72
_18024_,350.19
_13358_,350.08
_15714_,350.05
_03845_,350.02
u_cmd_parser.challenge_nonce\[53\],349.56
_15086_,348.705
_13294_,348.64
_14330_,348.6
net69,348.4
_06598_,348.32
_14949_,348.31
_11341_,348.16
_10035_,347.79
clknet_5_2__leaf_clk,347.57
_03657_,347.4
_16919_,347.13
_09748_,347.115
_18359_,346.93
_15069_,346.61
_15144_,346.135
_07148_,345.24
_17759_,345.2
_03832_,345.17
_08348_,345.12
_17181_,344.97
net248,344.72
_07849_,344.2
_06028_,344
_04302_,343.39
_04571_,343.02
_17210_,342.815
_15105_,342.56
_04011_,342.38
_08430_,342.11
_04335_,342.05
u_cmd_parser.challenge_nonce\[83\],341.68
_16508_,341.6
u_cmd_parser.challenge_nonce\[51\],341.49
_14980_,341.1
_14703_,340.7
_09597_,340.63
_17156_,340.61
clknet_5_5__leaf_clk,340.37
_06019_,340.27
_15125_,340.18
_04821_,339.52
_17551_,339.445
u_cmd_parser.challenge_nonce\[101\],339.42
_04442_,339
u_cmd_parser.challenge_nonce\[79\],338.28
_16364_,337.92
_14796_,337.88
clknet_5_0__leaf_clk,337.65
_05312_,336.86
_04379_,336.42
net101,336.23
_03829_,336.17
_12423_,336.06
u_cmd_parser.challenge_nonce\[43\],335.98
_06632_,335.93
_05246_,335.56
_04162_,335.04
net28,334.72
_14916_,334.58
u_cmd_parser.challenge_nonce\[85\],334.495
net20,334.45
u_cmd_parser.challenge_nonce\[52\],334.22
u_cmd_parser.challenge_nonce\[86\],333.58
_14816_,333.56
_11176_,333.38
_17922_,332.98
_14933_,332.655
_17410_,332.44
_05323_,332.42
_05235_,332.24
u_cmd_parser.challenge_nonce\[100\],332.03
_19569_,331.86
_06022_,331.73
_03802_,331.58
_04261_,331.56
_17058_,331.48
_04986_,331.425
_06073_,330.98
_17324_,329.76
_14286_,329.495
_04121_,329.295
_17788_,329.12
u_cmd_parser.challenge_nonce\[17\],329.105
_04088_,328.89
_17837_,328.55
clknet_5_6__leaf_clk,328.27
_18035_,328.025
_17304_,327.7
_15018_,327.42
_15856_,326.82
u_cmd_parser.challenge_nonce\[25\],326.625
_04055_,326.555
_06382_,326.04
net35,325.24
_13668_,324.88
_14941_,324.615
clknet_5_10__leaf_clk,324.14
net24,324.07
u_cmd_parser.challenge_nonce\[82\],323.81
u_auth_fsm.aes_plaintext\[28\],323.71
_14734_,323.7
_04066_,323.12
u_cmd_parser.challenge_nonce\[81\],322.49
_08890_,321.98
_16915_,321.72
u_cmd_parser.challenge_nonce\[88\],321.72
_17932_,321.24
_05648_,321.2
_16882_,321.06
_14959_,320.985
_04755_,320.82
_17077_,320.43
_15325_,320.25
_14966_,319.65
_13948_,319.54
_04401_,319.515
_17433_,319.49
_18851_,319.26
_06509_,319.21
_05949_,319.17
_09730_,319.12
_04195_,318.86
_07249_,318.835
_15051_,318.54
_08346_,318.14
_15273_,318.13
_16928_,317.7
_17357_,317.56
net32,317.44
_04659_,317.24
_16390_,316.94
_08456_,316.77
_17858_,316.35
_11065_,315.6
_13731_,315.22
_17725_,315.06
_18058_,315.06
_06510_,314.8
_03970_,314.37
_14202_,314.33
_07254_,314.32
_11681_,313.52
_05279_,313.49
net29,313.34
_15692_,313.2
_07687_,312.965
net21,312.74
_09733_,312.54
_04711_,312.35
_14675_,312.26
_17465_,312.04
net34,311.89
u_cmd_parser.challenge_nonce\[6\],311.33
u_cmd_parser.challenge_nonce\[80\],310.165
_14585_,309.92
_14741_,309.48
_17955_,308.97
_12180_,308.9
_05820_,308.335
_05582_,308.1
_15229_,307.64
_17000_,307.525
_11250_,307.46
_04648_,307.35
_05775_,307.21
_04368_,306.67
u_cmd_parser.challenge_nonce\[74\],306.64
_16497_,306.615
_15757_,306.32
_06116_,306.28
_17418_,306.1
_06818_,306.05
_14725_,306
_13486_,305.96
_06507_,305.86
_18469_,305.24
_18151_,305.17
_05345_,304.855
_04615_,304.49
_17588_,304.42
_17314_,304.185
_15488_,304.17
_17904_,304.1
_10219_,303.78
_03804_,303.61
_03840_,303.365
_05701_,303.365
u_cmd_parser.challenge_nonce\[67\],303.35
_03853_,303.34
net31,303.16
_04228_,303.04
_08148_,302.97
_04431_,302.83
u_cmd_parser.cmd_challenge,301.62
net25,301.29
_14919_,301.26
u_auth_fsm.nonce_hist\[1\]\[87\],300.88
net170,300.83
_15381_,300.44
_14322_,300.34
_18349_,300.04
net30,299.96
